"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2024-55002-19/09/2025","04",0,"SA","Station Wagon","2018","North West","Female","041","SA","C","Full","Not Towing","Stopped on Carriageway","003","5085",,
"2024-55003-19/09/2025","01",0,"SA","Station Wagon","2022","West",,,,,,"Not Towing","Parked","000",,,
"2024-55003-19/09/2025","02",0,"SA","Other Defined Special Vehicle","2008","West","Male","033","SA","HR","Full","Not Towing","Straight Ahead","001","5112",,
"2024-55004-19/09/2025","01",1,"SA","Motor Cars - Sedan","2013","East","Female","044","SA","C","Full","Not Towing","Straight Ahead","001","5063",,
"2024-55004-19/09/2025","02",0,"SA","Station Wagon","2014","North","Female","089","SA","C","Full","Not Towing","Straight Ahead","001","5063",,
"2024-55005-19/09/2025","01",0,"SA","Motor Cars - Sedan","2007","West","Female","039","SA","C","Full","Not Towing","Stopped on Carriageway","001","5114",,
"2024-55005-19/09/2025","02",0,"SA","Station Wagon","2015","West","Female","040","SA","C","Full","Not Towing","Straight Ahead","005","5011",,
"2024-55006-19/09/2025","01",1,"SA","Motor Cars - Sedan","2023","North","Male","074","SA","C","Full","Not Towing",,"001","5052",,
"2024-55006-19/09/2025","02",0,"SA","OMNIBUS","2019","North","Male","045","SA","HRR","Full","Not Towing","Straight Ahead","001","5092",,
"2024-55007-19/09/2025","01",0,"SA","Station Wagon","2015","East","Female","029","SA","C","Full","Not Towing","Straight Ahead","001","5051",,
"2024-55007-19/09/2025","02",0,"SA","Station Wagon","2012","West","Female","033","O/S","C","Full","Not Towing","Entering Private Driveway","001","5039",,
"2024-55008-19/09/2025","01",0,"SA","Station Wagon","2019","South West","Male","034","SA","C","Full","Not Towing","Straight Ahead","001","5125",,
"2024-55008-19/09/2025","02",4,"SA","Station Wagon","2007","North West","Female","029","SA","C","Full","Not Towing","Right Turn","004","5114",,
"2024-55009-19/09/2025","01",1,"SA","Motor Cars - Sedan","2017","East","Female","017","SA","C","Provisional 1 ","Not Towing","Right Turn","001","5125",,
"2024-55009-19/09/2025","02",0,"SA","Station Wagon","2005","North","Male","051","SA","C","Full","Trailer","Straight Ahead","001","5117","Y",
"2024-55009-19/09/2025","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2024-55010-19/09/2025","01",0,"SA","Station Wagon","2023","South West","Male","064","SA","C","Full","Not Towing","Straight Ahead","001","5170",,
"2024-55010-19/09/2025","02",0,"SA","Motor Cars - Sedan","1999","South West","Female","024","SA","C","Full","Not Towing","Straight Ahead","001","5169",,
"2024-55011-19/09/2025","01",0,"SA","Motor Cars - Sedan","2014","North East","Female","023","SA","C","Full","Not Towing","Straight Ahead","001","5162",,
"2024-55011-19/09/2025","02",0,"SA","Motor Cars - Sedan","2011","North East","Male","020","O/S","C","Full","Not Towing","Straight Ahead","001","5068",,
"2024-55011-19/09/2025","03",1,"SA","Station Wagon","2023","North East","Female","023","SA","C","Full","Not Towing","Straight Ahead","001","5114",,
"2024-55011-19/09/2025","04",0,"SA","Utility","2018","North East","Male","044","SA","CR","Full","Not Towing","Straight Ahead","001","5098",,
"2024-55012-19/09/2025","01",0,"SA","Station Wagon","2023","South","Male","044","SA","C","Full","Not Towing","Straight Ahead","001","5066",,
"2024-55012-19/09/2025","02",0,"SA","Motor Cars - Sedan","2012","West","Female","063","SA","C","Full","Not Towing","Straight Ahead","002","5244",,
"2024-55013-19/09/2025","01",0,"SA","Station Wagon","2003","South East","Female","054","SA","C","Full","Not Towing","Right Turn","001","5113",,
"2024-55013-19/09/2025","02",1,"SA","Motor Cycle","2018","South West","Male","024","SA","CRD","Learners","Not Towing","Straight Ahead","001","5113",,
"2024-55014-19/09/2025","01",0,"SA","Motor Cars - Sedan","2007","East","Male","019","SA","C","Provisional 1 ","Not Towing","Straight Ahead","002","5085",,
"2024-55014-19/09/2025","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","East",,,,,,"Unknown","Parked","000",,,
"2024-55015-19/09/2025","01",0,"SA","Motor Cars - Sedan","2006","North","Female","018","SA","C","Provisional 2","Not Towing","Straight Ahead","001","5173",,
"2024-55015-19/09/2025","02",0,"SA","Station Wagon","2002","South","Female","039","SA","C","Full","Not Towing","Straight Ahead","003","XXXX",,
"2024-55016-19/09/2025","01",0,"SA","Station Wagon","2013","North","Male","071","SA","HRR","Full","Not Towing","Right Turn","001","5352",,
"2024-55016-19/09/2025","02",0,"SA","Utility","2021","South","Male","043","SA","HCR","Full","Trailer","Straight Ahead","001","5356",,
"2024-55017-19/09/2025","01",0,"SA","Station Wagon","2018","South East","Female","029","SA","C","Full","Not Towing","Straight Ahead","001","5070",,
"2024-55017-19/09/2025","02",1,"SA","Motor Cars - Sedan","2016","North West","Male","035","SA","C","Full","Not Towing","Right Turn","001","5067",,
"2024-55018-19/09/2025","01",0,"SA","Station Wagon","2013","West","Female","017","SA","C","Provisional 1 ","Not Towing","Straight Ahead","001","5011",,
"2024-55018-19/09/2025","02",0,"SA","Station Wagon","2017","West",,,,,,"Unknown","Parked","000",,,
"2024-55018-19/09/2025","03",0,"SA","Motor Cars - Sedan","2011","West",,,,,,"Unknown","Parked","000",,,
"2024-55019-19/09/2025","01",0,"SA","Motor Cars - Sedan","2007","South East","Male","018","SA","C","Provisional 2","Not Towing","Straight Ahead","002","5073",,
"2024-55019-19/09/2025","02",2,"SA","Motor Cars - Sedan","2019","North West","Male","060","SA","C","Full","Not Towing","Right Turn","002","5075",,
"2024-55020-19/09/2025","01",0,"SA","Motor Cars - Sedan","2014","South West","Male","032","SA","C","Full","Not Towing","Straight Ahead","001","5038",,
"2024-55020-19/09/2025","02",1,"SA","Motor Cars - Sedan","2005","North","Female","051","SA","C","Full","Not Towing","Right Turn","002","5076",,
"2024-55021-19/09/2025","01",0,"WA","Motor Cars - Sedan","2006","East","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","XXXX",,
"2024-55021-19/09/2025","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2024-55022-19/09/2025","01",1,"SA","Motor Cars - Sedan","2007","South","Male","033","SA","C","Provisional 2","Not Towing","Straight Ahead","001","5098",,
"2024-55022-19/09/2025","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2024-55023-19/09/2025","01",0,"SA","Other Defined Special Vehicle","2012","North East",,,,,,"Trailer","Parked","000",,,
"2024-55023-19/09/2025","02",0,"SA","Station Wagon","2010","North East","Male","079","SA","LR","Full","Not Towing","Straight Ahead","001","5118",,
"2024-55024-19/09/2025","01",0,"SA","Station Wagon","2013","North","Male","041","SA","C","Full","Not Towing","Straight Ahead","001","5006",,
"2024-55024-19/09/2025","02",1,,"Pedal Cycle",,"East","Female","044",,,,,"Straight Ahead","001","5072",,
"2024-55025-19/09/2025","01",0,"SA","RIGID TRUCK LGE GE 4.5T","2006","West","Male","033","SA","MR","Full","Trailer","Straight Ahead","002","5112",,
"2024-55025-19/09/2025","02",0,,"Other Inanimate Object",,,,,,,,,,,,,
"2024-55026-19/09/2025","01",1,"SA","Motor Cars - Sedan","2008","South","Female","024","O/S","C","Full","Not Towing","Swerving","001","5253",,
"2024-55026-19/09/2025","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2024-55027-19/09/2025","01",0,"SA","Station Wagon","2022","North","Male","053","SA","C","Full","Not Towing","Straight Ahead","001","5153",,
"2024-55027-19/09/2025","02",1,"SA","Motor Cycle","2022","North","Male","052","SA","MRR","Full","Not Towing","Stopped on Carriageway","001","5118",,
"2024-55027-19/09/2025","03",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Stopped on Carriageway","001","XXXX",,
"2024-55028-19/09/2025","01",1,"SA","Station Wagon","1999","East","Male","021","SA","C","Provisional 2","Not Towing","Straight Ahead","001","5501",,
"2024-55028-19/09/2025","02",0,"SA","SEMI TRAILER","2000","South","Male","033","SA","MCR","Full","Trailer","Right Turn","001","5108",,
"2024-55029-19/09/2025","01",0,"SA","Scooter","2020","East","Female","030","O/S","C","Full","Not Towing","Stopped on Carriageway","001","5084",,
