road_no,tesecn_start_rrd,tesecn_end_rrd,tesecn_id,tesecn_volume,traffic_score,crashes_30m,has_crash_near_segment,fatal_serious_30m,child_30m,ped_30m,severity_weighted_30m,high_risk,cv_percent,rlcwy_code,rlcwy_code_binary
7800,61.48,125.7,3288280.0,4400,9000.0,40,True,5,1,0,95,1,45.5,U,0
5610,9.63,9.78,12381590.0,14400,8800.0,24,True,0,0,5,49,0,3.5,L,1
4766,7.35,8.54,4748317.0,5900,3800.0,12,True,1,0,1,27,0,4.5,U,0
53231,0.0,0.6,11267178.0,2000,2100.0,2,True,0,0,0,2,0,17.0,U,0
4015,75.1,75.84,3286572.0,1300,1100.0,0,False,0,0,0,0,0,11.0,U,0
6185,2.19,2.74,3287748.0,51000,30200.0,102,True,0,2,9,157,1,3.0,L,1
7620,28.1,29.02,3288266.0,7000,4100.0,18,True,1,1,1,38,0,3.0,U,0
5606,0.0,1.09,3287366.0,22100,13900.0,72,True,1,0,3,97,1,4.0,L,1
5000,12.93,13.05,11208826.0,14200,9000.0,30,True,3,2,1,75,1,4.0,U,0
4495,0.0,6.46,3286813.0,2500,1800.0,8,True,2,0,0,28,0,7.0,U,0
6607,3.02,3.31,4428271.0,29300,17200.0,34,True,1,2,1,59,0,3.0,L,1
5851,3.82,5.07,3287583.0,26500,16300.0,115,True,4,3,10,220,1,3.5,L,1
7620,25.4,28.1,6446916.0,4900,5600.0,16,True,5,1,0,71,0,19.5,U,0
6021,31.23,35.12,4689913.0,1000,1200.0,6,True,0,0,0,6,0,19.0,U,0
5006,2.06,3.78,3287115.0,11900,7100.0,46,True,1,2,0,66,0,3.5,U,0
5300,28.76,35.29,13036611.0,76600,81000.0,97,True,5,2,3,172,1,16.5,L,1
5054,0.98,1.56,4428126.0,8100,5000.0,32,True,2,0,4,72,1,4.0,U,0
43703,0.0,0.2,3288499.0,5100,4000.0,1,True,0,0,0,1,0,9.0,U,0
4489,51.52,62.7,3286807.0,2500,3100.0,18,True,1,1,2,43,0,22.0,U,0
6202,0.54,0.79,12386724.0,3400,4200.0,14,True,0,0,0,14,0,22.0,U,0
7700,100.04,133.45,3288274.0,950,1500.0,14,True,5,1,2,79,1,33.5,U,0
5610,9.27,9.45,11241306.0,19800,18600.0,39,True,1,1,3,69,0,13.0,L,1
5036,3.67,3.91,4776398.0,7300,4500.0,6,True,0,2,1,21,0,4.0,U,0
44821,0.0,0.87,3288512.0,12600,8100.0,21,True,1,2,4,61,0,4.5,U,0
4498,0.0,1.82,12855915.0,2900,2200.0,11,True,2,1,2,46,0,8.0,U,0
6202,1.5,1.73,7188732.0,5200,7300.0,16,True,1,0,2,36,0,27.0,U,0
5863,2.94,4.38,3287602.0,11100,6200.0,34,True,1,1,6,79,1,2.0,U,0
7620,0.0,7.4,3288265.0,2000,2800.0,7,True,1,0,0,17,0,25.0,U,0
5627,3.79,5.6,7392194.0,17400,10500.0,125,True,3,2,19,260,1,3.5,L,1
5015,0.0,0.81,3287120.0,600,350.0,4,True,0,0,0,4,0,2.5,U,0
6610,3.95,4.36,13115360.0,26000,14700.0,27,True,0,1,1,37,0,2.5,L,1
5851,3.33,3.82,4747834.0,28400,16800.0,89,True,8,1,8,214,1,3.0,L,1
7700,0.0,14.67,3288269.0,1000,1400.0,11,True,2,0,0,31,0,27.0,U,0
5609,0.96,1.32,3287372.0,22900,13500.0,38,True,0,2,5,73,1,3.0,U,0
5000,18.72,19.33,4714653.0,8700,5100.0,15,True,0,0,2,25,0,3.0,U,0
5406,12.01,12.34,13001132.0,16400,15900.0,6,True,1,0,1,21,0,14.0,L,1
3323,7.93,12.91,3286348.0,490,490.0,1,True,0,0,1,6,0,15.5,U,0
6780,1.58,1.76,13115667.0,52300,46400.0,21,True,0,1,3,41,0,11.5,L,1
5836,0.0,0.14,3287553.0,9600,5600.0,18,True,2,0,3,53,0,3.0,L,1
7880,0.0,0.5,3288289.0,1400,1700.0,0,False,0,0,0,0,0,21.5,U,0
3497,3.32,4.29,6410525.0,2100,2400.0,2,True,0,0,0,2,0,19.0,U,0
6610,3.29,3.95,3288046.0,30600,18100.0,116,True,4,3,4,191,1,3.0,L,1
5833,5.65,7.25,3287547.0,37800,25200.0,99,True,1,1,4,134,1,5.5,L,1
2400,135.08,136.28,3286219.0,1000,1200.0,2,True,0,0,0,2,0,20.0,U,0
5621,1.05,1.48,11235456.0,8300,4400.0,9,True,0,0,0,9,0,1.0,U,0
8329,0.0,33.31,3288335.0,410,410.0,6,True,3,1,0,41,0,14.5,U,0
3486,4.73,5.25,6410462.0,2700,2800.0,1,True,0,0,0,1,0,15.5,U,0
6604,2.32,4.03,3288001.0,37200,23600.0,109,True,5,3,6,204,1,4.5,L,1
5851,0.51,0.72,7923605.0,11600,6800.0,13,True,0,0,1,18,0,3.0,L,1
2200,231.67,332.46,3286206.0,280,360.0,7,True,1,0,0,17,0,23.0,U,0
8326,0.19,1.85,3288333.0,1100,1200.0,2,True,0,0,0,2,0,17.5,U,0
62039,0.37,0.93,13149525.0,15500,11700.0,51,True,0,0,1,56,0,7.5,U,0
3497,4.47,5.19,6410527.0,1100,1200.0,0,False,0,0,0,0,0,16.5,U,0
6604,4.07,4.54,3288003.0,34200,22100.0,56,True,2,0,2,86,1,4.5,L,1
2415,10.6,10.92,3286237.0,4900,4900.0,3,True,0,0,0,3,0,15.5,U,0
3400,362.12,371.16,3286382.0,1500,1800.0,8,True,2,1,1,38,0,19.5,U,0
10050,28.31,36.62,12458747.0,36,25.0,0,False,0,0,0,0,0,5.5,U,0
2000,706.46,794.56,3286187.0,750,1300.0,24,True,6,2,1,99,1,37.5,U,0
10014,0.0,7.7,12113620.0,130,130.0,0,False,0,0,0,0,0,16.0,U,0
6866,2.38,3.44,7301386.0,17500,10100.0,41,True,4,1,6,116,1,2.5,L,1
6120,0.55,1.11,11240746.0,6700,4000.0,69,True,8,1,21,259,1,3.5,U,0
2000,448.72,480.25,3286177.0,800,1500.0,7,True,0,0,0,7,0,40.0,U,0
8661,0.0,0.14,3288424.0,3200,3100.0,1,True,1,0,1,16,0,14.0,U,0
7015,34.45,36.38,3288097.0,2300,2900.0,1,True,0,0,0,1,0,24.0,U,0
6033,0.0,0.22,3287683.0,23500,19400.0,80,True,4,1,2,135,1,10.0,L,1
5202,0.0,0.69,3287190.0,6000,3300.0,9,True,0,1,1,19,0,1.5,U,0
3160,59.8,62.7,3286317.0,650,700.0,0,False,0,0,0,0,0,18.5,U,0
7100,5.23,15.36,3288107.0,800,1100.0,1,True,0,0,0,1,0,26.5,U,0
6039,9.79,12.0,4754506.0,3500,2300.0,17,True,1,0,1,32,0,5.0,U,0
5063,6.46,6.54,13161966.0,24300,15100.0,54,True,4,1,4,119,1,4.0,U,0
5824,1.26,1.44,3287507.0,19600,11300.0,22,True,0,2,3,47,0,2.5,L,1
7100,94.08,116.67,3288110.0,600,850.0,2,True,0,0,0,2,0,28.5,U,0
6012,1.43,1.63,3287629.0,42800,28100.0,80,True,4,4,7,175,1,5.0,L,1
6122,1.67,1.88,13146871.0,6400,3500.0,32,True,1,0,8,82,1,1.5,U,0
5201,1.3,4.24,3287186.0,24400,14600.0,127,True,8,4,7,262,1,3.5,L,1
61461,0.0,0.17,12384862.0,3000,1800.0,156,True,1,2,9,221,1,3.0,U,0
5651,0.75,1.22,3287457.0,19300,11800.0,44,True,4,3,5,124,1,3.5,L,1
6015,1.82,2.73,3287649.0,28000,15600.0,55,True,0,0,5,80,1,2.0,L,1
4127,3.96,31.28,3286611.0,750,700.0,6,True,1,0,0,16,0,12.0,U,0
5218,10.61,12.25,3287237.0,27900,18200.0,120,True,3,1,5,180,1,5.0,L,1
6586,3.87,4.91,3287966.0,33600,20500.0,84,True,4,2,10,184,1,3.5,L,1
4787,0.0,12.03,3287077.0,1400,1300.0,16,True,4,1,0,61,0,13.0,U,0
5221,6.62,6.82,4691832.0,39100,22900.0,44,True,3,2,6,114,1,3.0,L,1
6592,5.91,6.14,3287983.0,52900,30900.0,18,True,0,0,3,33,0,3.0,L,1
4640,68.54,69.02,4329000.0,7800,6900.0,1,True,0,0,0,1,0,11.5,U,0
4879,59.27,62.86,7690327.0,550,500.0,1,True,0,0,0,1,0,12.5,U,0
17000,0.0,120.57,6234759.0,19,12.0,1,True,0,0,0,1,0,5.5,U,0
4615,0.0,3.04,3286940.0,3500,2600.0,19,True,0,2,3,44,0,7.5,U,0
